Iteration,Pattern,CPU Load (%),Execution Time (ms),Energy Consumed (J)
206,NonVisitorPattern,0.00,0.14,0.0000
207,VisitorPattern,0.00,0.14,0.0000
207,NonVisitorPattern,0.00,0.11,0.0000
208,VisitorPattern,0.00,0.13,0.0000
208,NonVisitorPattern,0.00,0.13,0.0000
209,VisitorPattern,0.00,0.13,0.0000
209,NonVisitorPattern,0.00,0.13,0.0000
210,VisitorPattern,0.00,0.13,0.0000
210,NonVisitorPattern,0.00,0.13,0.0000
211,VisitorPattern,0.00,0.14,0.0000
211,NonVisitorPattern,0.00,0.12,0.0000
212,VisitorPattern,0.00,0.14,0.0000
212,NonVisitorPattern,0.00,0.12,0.0000
213,VisitorPattern,0.00,0.14,0.0000
213,NonVisitorPattern,0.00,0.15,0.0000
214,VisitorPattern,0.00,0.15,0.0000
214,NonVisitorPattern,0.00,0.14,0.0000
215,VisitorPattern,0.00,0.15,0.0000
215,NonVisitorPattern,0.00,0.15,0.0000
216,VisitorPattern,0.00,0.16,0.0000
216,NonVisitorPattern,0.00,0.15,0.0000
217,VisitorPattern,0.00,0.15,0.0000
217,NonVisitorPattern,0.00,0.14,0.0000
218,VisitorPattern,0.00,0.16,0.0000
218,NonVisitorPattern,0.00,0.16,0.0000
219,VisitorPattern,0.00,0.16,0.0000
219,NonVisitorPattern,0.00,0.15,0.0000
220,VisitorPattern,0.00,0.14,0.0000
220,NonVisitorPattern,0.00,0.16,0.0000
221,VisitorPattern,0.00,0.17,0.0000
221,NonVisitorPattern,0.00,0.16,0.0000
222,VisitorPattern,0.00,0.16,0.0000
222,NonVisitorPattern,0.00,1.41,0.0000
223,VisitorPattern,0.00,1.86,0.0000
223,NonVisitorPattern,0.00,1.01,0.0000
224,VisitorPattern,0.00,0.43,0.0000
224,NonVisitorPattern,0.00,0.94,0.0000
225,VisitorPattern,0.00,1.13,0.0000
225,NonVisitorPattern,0.00,0.60,0.0000
226,VisitorPattern,0.00,0.42,0.0000
226,NonVisitorPattern,0.00,0.96,0.0000
227,VisitorPattern,0.00,1.12,0.0000
227,NonVisitorPattern,0.00,0.82,0.0000
228,VisitorPattern,0.00,0.85,0.0000
228,NonVisitorPattern,0.00,0.83,0.0000
229,VisitorPattern,0.00,1.19,0.0000
229,NonVisitorPattern,0.00,0.33,0.0000
230,VisitorPattern,0.00,0.60,0.0000
230,NonVisitorPattern,0.00,0.42,0.0000
231,VisitorPattern,0.00,0.63,0.0000
231,NonVisitorPattern,0.00,0.90,0.0000
232,VisitorPattern,0.00,0.57,0.0000
232,NonVisitorPattern,0.00,1.00,0.0000
233,VisitorPattern,0.00,1.43,0.0000
233,NonVisitorPattern,0.00,0.97,0.0000
234,VisitorPattern,0.00,0.43,0.0000
234,NonVisitorPattern,0.00,0.37,0.0000
235,VisitorPattern,0.00,1.25,0.0000
235,NonVisitorPattern,0.00,0.72,0.0000
236,VisitorPattern,0.00,0.38,0.0000
236,NonVisitorPattern,0.00,0.90,0.0000
237,VisitorPattern,0.00,0.91,0.0000
237,NonVisitorPattern,0.00,0.46,0.0000
238,VisitorPattern,0.00,1.38,0.0000
238,NonVisitorPattern,0.00,0.16,0.0000
239,VisitorPattern,0.00,0.30,0.0000
239,NonVisitorPattern,0.00,0.69,0.0000
240,VisitorPattern,0.00,1.39,0.0000
240,NonVisitorPattern,0.00,2.25,0.0000
241,VisitorPattern,0.00,0.77,0.0000
241,NonVisitorPattern,0.00,0.90,0.0000
242,VisitorPattern,0.00,1.54,0.0000
242,NonVisitorPattern,0.00,1.20,0.0000
243,VisitorPattern,0.00,1.43,0.0000
243,NonVisitorPattern,0.00,0.67,0.0000
244,VisitorPattern,0.00,1.38,0.0000
244,NonVisitorPattern,0.00,0.85,0.0000
245,VisitorPattern,0.00,0.82,0.0000
245,NonVisitorPattern,0.00,1.82,0.0000
246,VisitorPattern,0.00,0.38,0.0000
246,NonVisitorPattern,0.00,0.32,0.0000
247,VisitorPattern,0.00,0.94,0.0000
247,NonVisitorPattern,0.00,1.59,0.0000
248,VisitorPattern,0.00,2.65,0.0000
248,NonVisitorPattern,0.00,0.88,0.0000
249,VisitorPattern,0.00,1.08,0.0000
249,NonVisitorPattern,0.00,1.60,0.0000
250,VisitorPattern,0.00,0.46,0.0000
250,NonVisitorPattern,0.00,1.94,0.0000
251,VisitorPattern,0.00,1.05,0.0000
251,NonVisitorPattern,0.00,3.14,0.0000
252,VisitorPattern,0.00,0.09,0.0000
252,NonVisitorPattern,0.00,0.08,0.0000
253,VisitorPattern,0.00,0.09,0.0000
253,NonVisitorPattern,0.00,0.08,0.0000
254,VisitorPattern,0.00,0.10,0.0000
254,NonVisitorPattern,0.00,0.08,0.0000
255,VisitorPattern,0.00,0.09,0.0000
255,NonVisitorPattern,0.00,0.08,0.0000
256,VisitorPattern,0.00,0.19,0.0000
256,NonVisitorPattern,0.00,0.09,0.0000
257,VisitorPattern,0.00,0.09,0.0000
257,NonVisitorPattern,0.00,0.08,0.0000
258,VisitorPattern,0.00,0.08,0.0000
258,NonVisitorPattern,0.00,0.08,0.0000
259,VisitorPattern,0.00,0.09,0.0000
259,NonVisitorPattern,0.00,0.09,0.0000
260,VisitorPattern,0.00,0.09,0.0000
260,NonVisitorPattern,0.00,0.08,0.0000
261,VisitorPattern,0.00,0.09,0.0000
261,NonVisitorPattern,0.00,0.08,0.0000
262,VisitorPattern,0.00,0.10,0.0000
262,NonVisitorPattern,0.00,0.08,0.0000
263,VisitorPattern,0.00,0.10,0.0000
263,NonVisitorPattern,0.00,0.08,0.0000
264,VisitorPattern,0.00,0.09,0.0000
264,NonVisitorPattern,0.00,0.09,0.0000
265,VisitorPattern,0.00,0.09,0.0000
265,NonVisitorPattern,0.00,0.08,0.0000
266,VisitorPattern,0.00,0.09,0.0000
266,NonVisitorPattern,0.00,0.09,0.0000
267,VisitorPattern,0.00,0.11,0.0000
267,NonVisitorPattern,0.00,0.14,0.0000
268,VisitorPattern,0.00,0.22,0.0000
268,NonVisitorPattern,0.00,0.18,0.0000
269,VisitorPattern,0.00,0.15,0.0000
269,NonVisitorPattern,0.00,0.14,0.0000
270,VisitorPattern,0.00,0.09,0.0000
270,NonVisitorPattern,0.00,0.08,0.0000
271,VisitorPattern,0.00,0.09,0.0000
271,NonVisitorPattern,0.00,0.08,0.0000
272,VisitorPattern,0.00,0.10,0.0000
272,NonVisitorPattern,0.00,0.08,0.0000
273,VisitorPattern,0.00,0.08,0.0000
273,NonVisitorPattern,0.00,0.08,0.0000
274,VisitorPattern,0.00,0.09,0.0000
274,NonVisitorPattern,0.00,0.08,0.0000
275,VisitorPattern,0.00,0.09,0.0000
275,NonVisitorPattern,0.00,0.07,0.0000
276,VisitorPattern,0.00,0.07,0.0000
276,NonVisitorPattern,0.00,0.07,0.0000
277,VisitorPattern,0.00,0.09,0.0000
277,NonVisitorPattern,0.00,0.07,0.0000
278,VisitorPattern,0.00,0.07,0.0000
278,NonVisitorPattern,0.00,0.07,0.0000
279,VisitorPattern,0.00,0.08,0.0000
279,NonVisitorPattern,0.00,0.08,0.0000
280,VisitorPattern,0.00,0.08,0.0000
280,NonVisitorPattern,0.00,0.08,0.0000
281,VisitorPattern,0.00,0.08,0.0000
281,NonVisitorPattern,0.00,0.08,0.0000
282,VisitorPattern,0.00,0.09,0.0000
282,NonVisitorPattern,0.00,0.07,0.0000
283,VisitorPattern,0.00,0.07,0.0000
283,NonVisitorPattern,0.00,0.07,0.0000
284,VisitorPattern,0.00,0.07,0.0000
284,NonVisitorPattern,0.00,0.07,0.0000
285,VisitorPattern,0.00,0.08,0.0000
285,NonVisitorPattern,0.00,0.08,0.0000
286,VisitorPattern,0.00,0.07,0.0000
286,NonVisitorPattern,0.00,0.07,0.0000
287,VisitorPattern,0.00,0.07,0.0000
287,NonVisitorPattern,0.00,0.07,0.0000
